min: 14, max: 15, char: v, password: vdvvvvvsvvvvvfpv, valid: false
min: 6, max: 8, char: l, password: lllllllllll, valid: false
min: 9, max: 10, char: n, password: nnnnnnnnfr, valid: false
min: 8, max: 9, char: x, password: xxxxxxxvcx, valid: true
min: 5, max: 10, char: w, password: wpwwwbwwww, valid: true
min: 14, max: 15, char: p, password: pppppppppppdphrppp, valid: true
min: 9, max: 19, char: h, password: whhcthhxhhhhhhghjtwz, valid: true
min: 9, max: 13, char: z, password: zzzzzpzzzhtzvnzzzzz, valid: false
min: 11, max: 13, char: l, password: llllllllzlqql, valid: false
min: 6, max: 11, char: b, password: bhlwpmbbbjzbcxwzmtc, valid: false
min: 2, max: 3, char: q, password: fqqhfqr, valid: true
min: 12, max: 14, char: m, password: mmmmdmmmmmmmsm, valid: true
min: 1, max: 3, char: t, password: gggctqtfpxtrt, valid: false
min: 2, max: 3, char: k, password: kbkk, valid: true
min: 11, max: 14, char: d, password: dddddcdddfddddd, valid: true
min: 8, max: 19, char: n, password: pnnnjnnnwgnnnnsnnnd, valid: true
min: 9, max: 10, char: r, password: rrtrrrvrqrrrpr, valid: true
min: 4, max: 12, char: k, password: kxskkkckkkzkz, valid: true
min: 1, max: 10, char: h, password: tjvhhphpzhjrlhhht, valid: true
min: 8, max: 9, char: c, password: pkcccccmc, valid: false
min: 3, max: 5, char: h, password: slwlgwnhcxxdhk, valid: false
min: 1, max: 8, char: l, password: cllllllqll, valid: true
min: 3, max: 4, char: q, password: wzqthkjvqct, valid: false
min: 4, max: 6, char: d, password: ddddddddddd, valid: false
min: 2, max: 6, char: q, password: qqqbxm, valid: true
min: 6, max: 9, char: b, password: bbbbbbqbsw, valid: true
min: 3, max: 6, char: c, password: ccwkpdjccfvc, valid: true
min: 9, max: 10, char: r, password: rrrrtrrrrr, valid: true
min: 1, max: 5, char: d, password: phzdmtzshlz, valid: true
min: 5, max: 7, char: q, password: fqqqqqrqq, valid: true
min: 4, max: 5, char: v, password: vvvvr, valid: true
min: 3, max: 5, char: k, password: kkgkk, valid: true
min: 3, max: 7, char: h, password: wxhgkfhhhqnhdfhg, valid: true
min: 5, max: 7, char: m, password: mmmwmmmmm, valid: false
min: 1, max: 3, char: z, password: qsvrzwnxzvl, valid: true
min: 7, max: 12, char: x, password: tpzblhzfdmxqqmmjfwq, valid: false
min: 9, max: 12, char: m, password: mmmqmmmmmdmmmm, valid: true
min: 15, max: 18, char: t, password: ttttttttttttttthtt, valid: true
min: 2, max: 12, char: b, password: tblhkbgnbbfqvd, valid: true
min: 2, max: 3, char: m, password: rmqv, valid: false
min: 8, max: 17, char: m, password: jmcndnqmdjdtqnbvmpn, valid: false
min: 5, max: 14, char: l, password: lxlfvjnbllllmlllllsb, valid: true
min: 4, max: 5, char: r, password: rtlmrxxrrnrt, valid: true
min: 6, max: 7, char: k, password: kkksmkg, valid: false
min: 16, max: 19, char: q, password: bkwfqstbmqqhzqvqvcqd, valid: false
min: 12, max: 13, char: l, password: lllllllllllpll, valid: true
min: 2, max: 9, char: m, password: zgxdbmzrmbbdbw, valid: true
min: 7, max: 9, char: d, password: bdddddzdk, valid: false
min: 18, max: 19, char: g, password: wfwggwhxrnnspmvgjrg, valid: false
min: 17, max: 18, char: w, password: wwwwwwwwwwwwwwwwwwww, valid: false
min: 2, max: 6, char: z, password: kzzzfzbh, valid: true
min: 3, max: 4, char: c, password: pcqk, valid: false
min: 5, max: 6, char: t, password: tthtpx, valid: false
min: 10, max: 13, char: x, password: xxxxxxxtdtkxqxqxxxx, valid: true
min: 1, max: 2, char: b, password: qbwd, valid: true
min: 13, max: 19, char: l, password: llhxsxlllllpllllllfl, valid: true
min: 14, max: 15, char: n, password: nnnnmnnnnnnnnnqn, valid: true
min: 6, max: 7, char: m, password: mjmhsdmmm, valid: false
min: 3, max: 5, char: r, password: qqshck, valid: false
min: 8, max: 15, char: c, password: clbcccrccscccpcwcc, valid: true
min: 9, max: 12, char: k, password: kkcwkklkkkcnkkxkk, valid: true
min: 4, max: 5, char: v, password: vvvppvv, valid: true
min: 2, max: 8, char: t, password: dxtgttjj, valid: true
min: 1, max: 8, char: r, password: tqrlhfzk, valid: true
min: 8, max: 9, char: n, password: zhmtnfsrr, valid: false
min: 10, max: 15, char: d, password: ddddmldddzddgnk, valid: false
min: 13, max: 17, char: z, password: jzpzzzzzzzvwnzzbz, valid: false
min: 1, max: 5, char: d, password: ddkdd, valid: true
min: 4, max: 6, char: x, password: xsxgbf, valid: false
min: 3, max: 8, char: k, password: wkckkkcw, valid: true
min: 5, max: 7, char: r, password: ndprnrxrrrbzrpnrz, valid: true
min: 4, max: 6, char: n, password: nnnnnnn, valid: false
min: 7, max: 8, char: q, password: qbmxfhqqqqmhqqq, valid: true
min: 9, max: 10, char: k, password: swgkcrkdkkjfmkkkjl, valid: false
min: 6, max: 8, char: s, password: kzqbsxrchhvvfvkqhz, valid: false
min: 3, max: 4, char: h, password: hmgh, valid: false
min: 10, max: 11, char: b, password: bsbfbkbwbhh, valid: false
min: 9, max: 13, char: z, password: nnzzbvzzrzkjnbzqfzzp, valid: false
min: 1, max: 11, char: x, password: xsxnqgjsqzxxnxd, valid: true
min: 12, max: 13, char: m, password: mmmmmmmmmmmvm, valid: true
min: 11, max: 20, char: n, password: vjsnfnnsgnnnmnnnnnwn, valid: true
min: 4, max: 11, char: q, password: qqqhqnpqbnrqhpd, valid: true
min: 10, max: 16, char: s, password: hszrsssktsspdtsrssss, valid: true
min: 1, max: 4, char: m, password: ldmhj, valid: true
min: 3, max: 14, char: l, password: llxjlmllflzdbll, valid: true
min: 11, max: 17, char: m, password: mmmmmmmmmmmmmmpmmmm, valid: false
min: 1, max: 7, char: c, password: jcccccl, valid: true
min: 15, max: 16, char: x, password: xjxxxxxxxxxxxxxxx, valid: true
min: 5, max: 7, char: v, password: cvtvcvv, valid: false
min: 7, max: 12, char: p, password: npppqpgptpjkjpdp, valid: true
min: 12, max: 16, char: c, password: cwvmnknsbccvccrckqcf, valid: false
min: 5, max: 13, char: v, password: vrvvvjvvpvvvwvbv, valid: true
min: 2, max: 14, char: l, password: bkllllllllllldlllk, valid: true
min: 4, max: 6, char: x, password: qxxxpxs, valid: true
min: 9, max: 11, char: s, password: sbssssssssm, valid: true
min: 7, max: 8, char: q, password: vgctvvqq, valid: false
min: 3, max: 8, char: g, password: ggtgggggggg, valid: false
min: 5, max: 6, char: b, password: pbbctbbbvnbjbbb, valid: false
min: 1, max: 2, char: w, password: jwww, valid: false
min: 12, max: 14, char: z, password: zszzzzznzzztzz, valid: false
min: 2, max: 3, char: j, password: fnmgcjbjt, valid: true
min: 4, max: 9, char: c, password: cccphccccpthcwwc, valid: true
min: 5, max: 12, char: g, password: ggsgxggggsgqggggg, valid: false
min: 4, max: 5, char: v, password: vvvvvv, valid: false
min: 8, max: 17, char: q, password: hdhtqlwpzqqqqqpqqhq, valid: true
min: 9, max: 15, char: s, password: sschdsssnvssvss, valid: true
min: 7, max: 8, char: d, password: sdhkdtpcdwgddtdd, valid: true
min: 1, max: 2, char: d, password: ddjdd, valid: false
min: 5, max: 9, char: b, password: zbzbbbklzbbb, valid: true
min: 9, max: 10, char: g, password: gggggggggg, valid: true
min: 2, max: 4, char: t, password: kttt, valid: true
min: 6, max: 13, char: t, password: pttsttttttttzt, valid: true
min: 16, max: 17, char: h, password: hhhhhhhhmhhhhhhtdhh, valid: true
min: 4, max: 10, char: r, password: rmpldrbrqcfqrkhbnqc, valid: true
min: 6, max: 14, char: z, password: zjzcpzzxzzzctzjz, valid: true
min: 6, max: 17, char: v, password: hsfctvxwpgsvfnfxwncq, valid: false
min: 14, max: 16, char: p, password: ppppppppppppplpppppp, valid: false
min: 15, max: 18, char: l, password: lllllslllllllgnllf, valid: false
min: 7, max: 15, char: v, password: vvvvvvfpvnvvsvvgvv, valid: true
min: 3, max: 4, char: x, password: xxsx, valid: true
min: 8, max: 13, char: z, password: zzwzzrzzzzzqqz, valid: true
min: 7, max: 8, char: r, password: hrsrrrrzrb, valid: false
min: 3, max: 4, char: b, password: bzfg, valid: false
min: 5, max: 7, char: h, password: dhhthhhhr, valid: true
min: 1, max: 4, char: v, password: vcvv, valid: true
min: 5, max: 6, char: k, password: pkkkqkkk, valid: true
min: 13, max: 20, char: j, password: jjjjjsjjjjjjjjjjjjjj, valid: true
min: 3, max: 6, char: p, password: pgtpptpxptvc, valid: true
min: 1, max: 3, char: v, password: tvvvv, valid: false
min: 6, max: 15, char: b, password: mbbbbbbbbbbbbkbb, valid: true
min: 11, max: 15, char: q, password: qmqqqqqhqqqqqqqqdqcs, valid: true
min: 2, max: 6, char: g, password: dggggr, valid: true
min: 1, max: 4, char: j, password: jjldsjjhfg, valid: true
min: 2, max: 4, char: h, password: vhkwhhnhbhx, valid: false
min: 3, max: 5, char: z, password: zzzzzz, valid: false
min: 2, max: 4, char: s, password: stmw, valid: false
min: 12, max: 13, char: k, password: wkbcmmkhpklkdnnkdvk, valid: false
min: 19, max: 20, char: b, password: bbbbbbbbbbbbbbbbbbbj, valid: true
min: 6, max: 9, char: w, password: vwwwtcpwwgw, valid: true
min: 3, max: 5, char: j, password: jbsjpjj, valid: true
min: 10, max: 13, char: c, password: cdccqpccccccc, valid: true
min: 7, max: 9, char: q, password: qpqqqqqqw, valid: true
min: 15, max: 16, char: p, password: ppppppppppppppbd, valid: false
min: 6, max: 13, char: n, password: nnnnnqnnnnndknnnnnn, valid: false
min: 11, max: 14, char: t, password: ttttqtttttjtttt, valid: true
min: 4, max: 6, char: t, password: tttltz, valid: true
min: 3, max: 5, char: n, password: nnnrj, valid: true
min: 2, max: 13, char: h, password: hhhhhhshhmhlkh, valid: true
min: 1, max: 6, char: x, password: xxxxxcxxxx, valid: false
min: 4, max: 7, char: v, password: ddswdvq, valid: false
min: 3, max: 5, char: d, password: xjksdvdddddwcrqzj, valid: false
min: 6, max: 7, char: x, password: xxxxxfxx, valid: true
min: 3, max: 6, char: b, password: bbqbbll, valid: true
min: 9, max: 12, char: p, password: pppppppplppj, valid: true
min: 12, max: 13, char: w, password: wwwwwwwwwwwwzww, valid: false
min: 5, max: 11, char: q, password: qztqqwvldnm, valid: false
min: 1, max: 4, char: m, password: qmmj, valid: true
min: 3, max: 7, char: l, password: llpllwllt, valid: true
min: 2, max: 8, char: h, password: hmhhhhhrsfhh, valid: true
min: 8, max: 10, char: g, password: gggggggqgv, valid: true
min: 5, max: 7, char: g, password: pggzgggggggb, valid: false
min: 4, max: 7, char: v, password: gvvxvrv, valid: true
min: 3, max: 4, char: l, password: llkf, valid: false
min: 2, max: 6, char: q, password: wqzpqqvdhhjlhkhmwtft, valid: true
min: 2, max: 3, char: n, password: nnnrd, valid: true
min: 1, max: 5, char: h, password: kfqqk, valid: false
min: 7, max: 12, char: z, password: qczzzzdlclzzdpfgzzz, valid: true
min: 2, max: 4, char: m, password: vrjmnqrmrmvm, valid: true
min: 4, max: 6, char: h, password: hhhbkhpghh, valid: true
min: 5, max: 7, char: z, password: zzzzgwbz, valid: true
min: 5, max: 7, char: d, password: ddddkfdbdnd, valid: true
min: 8, max: 10, char: q, password: qqxqqgtxqwqg, valid: false
min: 5, max: 14, char: b, password: bbbbzbbrbbrbbnbbbbbb, valid: false
min: 8, max: 10, char: z, password: vzzpzkzzgzzzzz, valid: true
min: 8, max: 9, char: w, password: wwwwwwwwb, valid: true
min: 5, max: 11, char: d, password: ddqdhddgddddd, valid: true
min: 2, max: 9, char: h, password: fhhhhhhhhhh, valid: false
min: 7, max: 12, char: b, password: bbjbbwxbcwbbnb, valid: true
min: 1, max: 3, char: m, password: tmmdmmmm, valid: false
min: 2, max: 3, char: b, password: bqtnkbjhlrvz, valid: true
min: 2, max: 9, char: z, password: nzrbzzrzlzzzvzt, valid: true
min: 2, max: 4, char: v, password: vvmv, valid: true
min: 9, max: 10, char: q, password: fccjqpwhqqq, valid: false
min: 2, max: 12, char: q, password: qqqqqfqqqqqqvqqq, valid: false
min: 1, max: 4, char: c, password: cxnc, valid: true
min: 5, max: 6, char: q, password: qqzhqqzqqqj, valid: false
min: 2, max: 3, char: k, password: vkkk, valid: true
min: 8, max: 9, char: n, password: nnmnnnxnnnnnqtwp, valid: false
min: 2, max: 3, char: b, password: jrbzvcb, valid: true
min: 4, max: 5, char: w, password: wwlnk, valid: false
min: 4, max: 15, char: d, password: wdpddddmdddddddddd, valid: true
min: 10, max: 14, char: d, password: dddqdxfddjbfddd, valid: false
min: 5, max: 6, char: t, password: pttttmttp, valid: true
min: 3, max: 4, char: b, password: bbgdbbb, valid: false
min: 5, max: 6, char: b, password: rgtqbbb, valid: false
min: 7, max: 14, char: b, password: pwpbbhbvbzxfbbb, valid: true
min: 6, max: 10, char: p, password: zppvhbpmcpwpprp, valid: true
min: 1, max: 15, char: p, password: bpfdpppxxmkppppmg, valid: true
min: 9, max: 14, char: w, password: hmlxdbdcqmxxhw, valid: false
min: 1, max: 9, char: t, password: zrqqtdbwpqdd, valid: true
min: 4, max: 6, char: n, password: knrnlnznn, valid: true
min: 4, max: 9, char: l, password: gclwdmllglblnlzn, valid: true
min: 5, max: 7, char: c, password: ckccbvvgtlc, valid: false
min: 8, max: 11, char: p, password: ppppppppxpp, valid: true
min: 13, max: 14, char: w, password: wwwwwwwwwwwdwh, valid: false
min: 17, max: 18, char: k, password: kkkkkkkkkkkkkkkkkk, valid: true
min: 7, max: 11, char: c, password: qccmcnccccc, valid: true
min: 2, max: 7, char: m, password: vmbnrmmngtqkjlmmt, valid: true
min: 9, max: 12, char: m, password: mtmmmmmmmxnr, valid: false
min: 8, max: 12, char: j, password: rjjdjvdjjfhj, valid: false
min: 14, max: 16, char: h, password: hhlhwhhhhhhhhgbhh, valid: false
