f: 14, s: 15, c: v, p: vdvvvvvsvvvvvfpv, a: f == v, b: p == v, valid: false
f: 6, s: 11, c: s, p: smsdjvsssss, a: v == s, b: s == s, valid: true
f: 3, s: 4, c: t, p: cttt, a: t == t, b: t == t, valid: false
f: 1, s: 4, c: q, p: tbcq, a: t == q, b: q == q, valid: true
f: 2, s: 4, c: m, p: jmmmmm, a: m == m, b: m == m, valid: false
f: 2, s: 8, c: h, p: hhhhhhhm, a: h == h, b: m == h, valid: true
f: 9, s: 11, c: h, p: phrhhhvhchqhmhh, a: c == h, b: q == h, valid: false
f: 6, s: 9, c: v, p: vvvvvmvvrvvvvv, a: m == v, b: r == v, valid: false
f: 1, s: 2, c: f, p: nxfgjfffp, a: n == f, b: x == f, valid: false
f: 5, s: 8, c: w, p: wwwwtnckwd, a: t == w, b: k == w, valid: false
f: 6, s: 12, c: x, p: xxnxscxkxxtf, a: c == x, b: f == x, valid: false
f: 8, s: 11, c: l, p: lllllllllstmllllll, a: l == l, b: t == l, valid: true
f: 9, s: 11, c: p, p: ppppppppvtfpp, a: v == p, b: f == p, valid: false
f: 5, s: 17, c: f, p: ffvwffpkfjffbtlfnftl, a: f == f, b: n == f, valid: true
f: 2, s: 6, c: b, p: gbbgbbbbrbxk, a: b == b, b: b == b, valid: false
f: 8, s: 9, c: t, p: trtftttttt, a: t == t, b: t == t, valid: false
f: 13, s: 17, c: r, p: rrgrrvrrrrrbrrzrqr, a: r == r, b: q == r, valid: true
f: 10, s: 11, c: k, p: kkkkkkrkkkk, a: k == k, b: k == k, valid: false
f: 9, s: 11, c: c, p: cccccccccncc, a: c == c, b: c == c, valid: false
f: 2, s: 5, c: j, p: jdfwzrjjtjt, a: d == j, b: z == j, valid: false
f: 10, s: 13, c: r, p: zrrprxhrrxzmmrbr, a: x == r, b: m == r, valid: false
f: 8, s: 13, c: s, p: sssjsssgssssbs, a: g == s, b: b == s, valid: false
f: 5, s: 6, c: b, p: bbbhhkh, a: h == b, b: k == b, valid: false
f: 8, s: 9, c: z, p: fzrzzzzxgfz, a: x == z, b: g == z, valid: false
f: 7, s: 9, c: l, p: bllllmllhl, a: l == l, b: h == l, valid: true
f: 5, s: 11, c: g, p: mqbfgrlgxfgcgggjdstc, a: g == g, b: g == g, valid: false
f: 4, s: 11, c: m, p: mmmgmmmmmmmxms, a: g == m, b: m == m, valid: true
f: 14, s: 17, c: p, p: lpppppppppzpppppp, a: p == p, b: p == p, valid: false
f: 7, s: 9, c: d, p: ddddddddd, a: d == d, b: d == d, valid: false
f: 14, s: 15, c: n, p: nnnnnnnnnnnnntz, a: t == n, b: z == n, valid: false
f: 8, s: 17, c: n, p: nnnbgzqbnndnzfsnmsmj, a: b == n, b: m == n, valid: false
f: 12, s: 15, c: l, p: lllkqllwdxlllvl, a: l == l, b: l == l, valid: false
f: 3, s: 11, c: t, p: lpdztztgmdwtztj, a: d == t, b: w == t, valid: false
f: 2, s: 5, c: m, p: rslsm, a: s == m, b: m == m, valid: true
f: 5, s: 11, c: c, p: ckptcgwqshct, a: c == c, b: c == c, valid: false
f: 3, s: 4, c: v, p: vvvdv, a: v == v, b: d == v, valid: true
f: 4, s: 8, c: d, p: dddrhddhddd, a: r == d, b: h == d, valid: false
f: 2, s: 5, c: n, p: brnnnnn, a: r == n, b: n == n, valid: true
f: 1, s: 4, c: p, p: qtpp, a: q == p, b: p == p, valid: true
f: 5, s: 7, c: l, p: lxblllflwl, a: l == l, b: f == l, valid: true
f: 16, s: 17, c: t, p: ttttttttttttttthm, a: h == t, b: m == t, valid: false
f: 5, s: 18, c: h, p: hhhthhhhhhhhhhhhhh, a: h == h, b: h == h, valid: false
f: 9, s: 17, c: j, p: jjjjjjjjbnjjjjjjjjj, a: b == j, b: j == j, valid: true
f: 6, s: 7, c: g, p: gfggnggrgg, a: g == g, b: g == g, valid: false
f: 4, s: 6, c: n, p: nnnnwq, a: n == n, b: q == n, valid: true
f: 8, s: 9, c: z, p: zzzczxzpwzlzdcsz, a: p == z, b: w == z, valid: false
f: 7, s: 10, c: w, p: wwswwwvwwtwww, a: v == w, b: t == w, valid: false
f: 6, s: 8, c: w, p: whwwwwlww, a: w == w, b: w == w, valid: false
f: 2, s: 14, c: c, p: cpccccccrccccck, a: p == c, b: c == c, valid: true
f: 1, s: 3, c: t, p: bqtbfdrdltn, a: b == t, b: t == t, valid: true
f: 3, s: 8, c: w, p: qwjhwrnjwsb, a: j == w, b: j == w, valid: false
f: 2, s: 4, c: g, p: gghg, a: g == g, b: g == g, valid: false
f: 2, s: 11, c: d, p: htdtljjxrnddxbdnfkwf, a: t == d, b: d == d, valid: true
f: 12, s: 14, c: b, p: bgbglrlpckgsxbjvqm, a: s == b, b: b == b, valid: true
f: 9, s: 14, c: q, p: qqgvqqqqqqmqqq, a: q == q, b: q == q, valid: false
f: 2, s: 16, c: m, p: mbmmmmmmhmmmmmzsbm, a: b == m, b: s == m, valid: false
f: 11, s: 12, c: n, p: nnxnnnnnnnnn, a: n == n, b: n == n, valid: false
f: 6, s: 12, c: r, p: rbrfbrnrrrprrczrqr, a: r == r, b: r == r, valid: false
f: 1, s: 3, c: n, p: nmnqtz, a: n == n, b: n == n, valid: false
f: 17, s: 18, c: h, p: hhhhhhhhhhhhhhhhfs, a: f == h, b: s == h, valid: false
f: 11, s: 13, c: k, p: rkmkwrknzfkkm, a: k == k, b: m == k, valid: true
f: 2, s: 3, c: w, p: bwwwwz, a: w == w, b: w == w, valid: false
f: 8, s: 12, c: s, p: mssssssssssc, a: s == s, b: c == s, valid: true
f: 8, s: 10, c: f, p: vzpcxfdfvqjpdkdh, a: f == f, b: q == f, valid: true
f: 1, s: 2, c: b, p: kbbx, a: k == b, b: b == b, valid: true
f: 2, s: 11, c: d, p: gqddddcdddf, a: q == d, b: f == d, valid: false
f: 3, s: 9, c: z, p: lzzqztpzzlzlz, a: z == z, b: z == z, valid: false
f: 8, s: 12, c: k, p: gkkfkkkmpkkkkktk, a: m == k, b: k == k, valid: true
f: 1, s: 4, c: l, p: lsqm, a: l == l, b: m == l, valid: true
f: 9, s: 11, c: m, p: mmzmmmmmmmv, a: m == m, b: v == m, valid: true
f: 16, s: 18, c: f, p: fffchfffffffffffffw, a: f == f, b: f == f, valid: false
f: 7, s: 8, c: v, p: wfhbqvxrvqpqvv, a: x == v, b: r == v, valid: false
f: 15, s: 16, c: v, p: vvvvvvvvvvvvvvtvv, a: t == v, b: v == v, valid: true
f: 1, s: 8, c: c, p: scwcrqclccccc, a: s == c, b: l == c, valid: false
f: 12, s: 15, c: d, p: bpdvrddgdtfdgdd, a: d == d, b: d == d, valid: false
f: 2, s: 4, c: k, p: gkkk, a: k == k, b: k == k, valid: false
f: 14, s: 15, c: x, p: lxsxljxfxwxxjcwnxxv, a: c == x, b: w == x, valid: false
f: 6, s: 7, c: p, p: hjxqnppmknskpb, a: p == p, b: p == p, valid: false
f: 7, s: 13, c: b, p: bbbbbbcblbbbbbvb, a: c == b, b: b == b, valid: true
f: 7, s: 9, c: j, p: gjjjpjjjhvqj, a: j == j, b: h == j, valid: true
f: 3, s: 6, c: n, p: nnnnnnn, a: n == n, b: n == n, valid: false
f: 7, s: 12, c: h, p: wxlhhhbjhhhhxhm, a: b == h, b: h == h, valid: true
f: 3, s: 5, c: t, p: ttttt, a: t == t, b: t == t, valid: false
f: 3, s: 4, c: n, p: ntnn, a: n == n, b: n == n, valid: false
f: 8, s: 16, c: b, p: bhrjmbbbsbbbfbbbpbb, a: b == b, b: b == b, valid: false
f: 4, s: 10, c: p, p: npsjlpppzgncww, a: j == p, b: g == p, valid: false
f: 4, s: 6, c: p, p: pvpfxqp, a: f == p, b: q == p, valid: false
f: 1, s: 2, c: f, p: fvxjf, a: f == f, b: v == f, valid: true
f: 3, s: 6, c: t, p: trnktdttt, a: n == t, b: d == t, valid: false
f: 3, s: 5, c: v, p: vvvvvmd, a: v == v, b: v == v, valid: false
f: 3, s: 6, c: z, p: bzmdfpbwckf, a: m == z, b: p == z, valid: false
f: 3, s: 4, c: h, p: hhhh, a: h == h, b: h == h, valid: false
f: 2, s: 4, c: x, p: tshbsbxlkpgs, a: s == x, b: b == x, valid: false
f: 1, s: 4, c: p, p: ppppbppppppppppp, a: p == p, b: p == p, valid: false
f: 2, s: 4, c: c, p: cccwc, a: c == c, b: w == c, valid: true
f: 6, s: 11, c: w, p: sbwwwwwqwmkw, a: w == w, b: k == w, valid: true
f: 1, s: 2, c: f, p: bxff, a: b == f, b: x == f, valid: false
f: 3, s: 8, c: h, p: rshhnqkvhh, a: h == h, b: v == h, valid: true
f: 2, s: 4, c: l, p: lpllll, a: p == l, b: l == l, valid: true
f: 9, s: 13, c: m, p: ltlmvcnnmmgtm, a: m == m, b: m == m, valid: false
f: 4, s: 5, c: j, p: szjjjmjb, a: j == j, b: j == j, valid: false
f: 6, s: 11, c: h, p: hkhdhkhhhhh, a: k == h, b: h == h, valid: true
f: 1, s: 4, c: v, p: vvlq, a: v == v, b: q == v, valid: true
f: 16, s: 17, c: b, p: pbdnsbbxbxgbdcqcr, a: c == b, b: r == b, valid: false
f: 1, s: 18, c: n, p: nnnnnmbnnnnnnnnnnn, a: n == n, b: n == n, valid: false
f: 7, s: 12, c: p, p: ppwtxzpvpppf, a: p == p, b: f == p, valid: true
f: 4, s: 5, c: r, p: rrrrr, a: r == r, b: r == r, valid: false
f: 13, s: 14, c: s, p: sgmdvqpxqqtstgspskf, a: t == s, b: g == s, valid: false
f: 4, s: 7, c: h, p: hhhwchwh, a: w == h, b: w == h, valid: false
f: 7, s: 18, c: d, p: ddlddddhjhbdddjdddd, a: d == d, b: d == d, valid: false
f: 4, s: 6, c: l, p: llllll, a: l == l, b: l == l, valid: false
f: 15, s: 16, c: n, p: nnnnnnnnnnnnnnzn, a: z == n, b: n == n, valid: true
f: 11, s: 16, c: p, p: pppdplppppgpppmppppt, a: g == p, b: p == p, valid: true
f: 4, s: 5, c: w, p: fwzbn, a: b == w, b: n == w, valid: false
f: 1, s: 3, c: p, p: sjpfb, a: s == p, b: p == p, valid: true
f: 3, s: 4, c: b, p: bbgbb, a: g == b, b: b == b, valid: true
f: 2, s: 13, c: n, p: pdnnjnnnnnnnnnn, a: d == n, b: n == n, valid: true
f: 6, s: 11, c: w, p: wwwkwdwwvcmwg, a: d == w, b: m == w, valid: false
f: 1, s: 6, c: t, p: dhtmfk, a: d == t, b: k == t, valid: false
f: 4, s: 7, c: d, p: wgrtpqldqldl, a: t == d, b: l == d, valid: false
f: 2, s: 15, c: z, p: zjzzzzzzgzzzzjzpzh, a: j == z, b: z == z, valid: true
f: 1, s: 6, c: h, p: hshhch, a: h == h, b: h == h, valid: false
f: 1, s: 2, c: n, p: kdnnnnnqnnnnn, a: k == n, b: d == n, valid: false
f: 6, s: 8, c: m, p: mdfjcclk, a: c == m, b: k == m, valid: false
f: 7, s: 19, c: d, p: ddwdddddfnddddddddj, a: d == d, b: j == d, valid: true
f: 12, s: 15, c: q, p: snqnppbsfjzvkxgkfc, a: v == q, b: g == q, valid: false
f: 6, s: 7, c: n, p: nnnnnnn, a: n == n, b: n == n, valid: false
f: 3, s: 4, c: x, p: xxghmxsz, a: g == x, b: h == x, valid: false
f: 5, s: 6, c: t, p: tttgtsjts, a: t == t, b: s == t, valid: true
f: 3, s: 5, c: f, p: mftfffcgwc, a: t == f, b: f == f, valid: true
f: 12, s: 13, c: w, p: wpwwwwwwwwwzw, a: z == w, b: w == w, valid: true
f: 3, s: 7, c: m, p: mmmmmmmmm, a: m == m, b: m == m, valid: false
f: 15, s: 18, c: x, p: xxxtxxwdvxxxxxxxxkxs, a: x == x, b: k == x, valid: true
f: 4, s: 5, c: w, p: wnpwwzw, a: w == w, b: w == w, valid: false
f: 17, s: 19, c: n, p: nnnnnnnnnnnnqnnnndn, a: n == n, b: n == n, valid: false
f: 7, s: 8, c: d, p: ddddddrf, a: r == d, b: f == d, valid: false
f: 9, s: 11, c: t, p: ttqtttthttxttt, a: t == t, b: x == t, valid: true
f: 1, s: 4, c: c, p: gccbr, a: g == c, b: b == c, valid: false
f: 5, s: 11, c: w, p: wwwwtwmwwwwlw, a: t == w, b: w == w, valid: true
f: 6, s: 8, c: v, p: vvmwvhvxvgsvftv, a: h == v, b: x == v, valid: false
f: 2, s: 11, c: s, p: lkvssdschmsgqbbws, a: k == s, b: s == s, valid: true
f: 3, s: 7, c: k, p: kmkxkckvg, a: k == k, b: k == k, valid: false
f: 3, s: 10, c: l, p: llxllllllglrllhl, a: x == l, b: g == l, valid: false
f: 1, s: 3, c: b, p: gbbb, a: g == b, b: b == b, valid: true
f: 18, s: 19, c: v, p: vvvsvvvvvvvvvvvvvvv, a: v == v, b: v == v, valid: false
f: 8, s: 9, c: d, p: tzddvdddddd, a: d == d, b: d == d, valid: false
f: 2, s: 4, c: t, p: tgtbpcv, a: g == t, b: b == t, valid: false
f: 1, s: 3, c: r, p: hrzrt, a: h == r, b: z == r, valid: false
f: 2, s: 4, c: f, p: ffqq, a: f == f, b: q == f, valid: true
f: 5, s: 6, c: c, p: cccjzh, a: z == c, b: h == c, valid: false
f: 3, s: 4, c: j, p: jjln, a: l == j, b: n == j, valid: false
f: 6, s: 8, c: l, p: lllllllllll, a: l == l, b: l == l, valid: false
f: 9, s: 10, c: n, p: nnnnnnnnfr, a: f == n, b: r == n, valid: false
f: 8, s: 9, c: x, p: xxxxxxxvcx, a: v == x, b: c == x, valid: false
f: 5, s: 10, c: w, p: wpwwwbwwww, a: w == w, b: w == w, valid: false
f: 14, s: 15, c: p, p: pppppppppppdphrppp, a: h == p, b: r == p, valid: false
f: 9, s: 19, c: h, p: whhcthhxhhhhhhghjtwz, a: h == h, b: w == h, valid: true
f: 9, s: 13, c: z, p: zzzzzpzzzhtzvnzzzzz, a: z == z, b: v == z, valid: true
f: 11, s: 13, c: l, p: llllllllzlqql, a: q == l, b: l == l, valid: true
f: 6, s: 11, c: b, p: bhlwpmbbbjzbcxwzmtc, a: m == b, b: z == b, valid: false
f: 2, s: 3, c: q, p: fqqhfqr, a: q == q, b: q == q, valid: false
f: 12, s: 14, c: m, p: mmmmdmmmmmmmsm, a: m == m, b: m == m, valid: false
f: 1, s: 3, c: t, p: gggctqtfpxtrt, a: g == t, b: g == t, valid: false
f: 2, s: 3, c: k, p: kbkk, a: b == k, b: k == k, valid: true
f: 11, s: 14, c: d, p: dddddcdddfddddd, a: d == d, b: d == d, valid: false
f: 8, s: 19, c: n, p: pnnnjnnnwgnnnnsnnnd, a: n == n, b: d == n, valid: true
f: 9, s: 10, c: r, p: rrtrrrvrqrrrpr, a: q == r, b: r == r, valid: true
f: 4, s: 12, c: k, p: kxskkkckkkzkz, a: k == k, b: k == k, valid: false
f: 1, s: 10, c: h, p: tjvhhphpzhjrlhhht, a: t == h, b: h == h, valid: true
f: 8, s: 9, c: c, p: pkcccccmc, a: m == c, b: c == c, valid: true
f: 3, s: 5, c: h, p: slwlgwnhcxxdhk, a: w == h, b: g == h, valid: false
f: 1, s: 8, c: l, p: cllllllqll, a: c == l, b: q == l, valid: false
f: 3, s: 4, c: q, p: wzqthkjvqct, a: q == q, b: t == q, valid: true
f: 4, s: 6, c: d, p: ddddddddddd, a: d == d, b: d == d, valid: false
f: 2, s: 6, c: q, p: qqqbxm, a: q == q, b: m == q, valid: true
f: 6, s: 9, c: b, p: bbbbbbqbsw, a: b == b, b: s == b, valid: true
f: 3, s: 6, c: c, p: ccwkpdjccfvc, a: w == c, b: d == c, valid: false
f: 9, s: 10, c: r, p: rrrrtrrrrr, a: r == r, b: r == r, valid: false
f: 1, s: 5, c: d, p: phzdmtzshlz, a: p == d, b: m == d, valid: false
f: 5, s: 7, c: q, p: fqqqqqrqq, a: q == q, b: r == q, valid: true
f: 4, s: 5, c: v, p: vvvvr, a: v == v, b: r == v, valid: true
f: 3, s: 5, c: k, p: kkgkk, a: g == k, b: k == k, valid: true
f: 3, s: 7, c: h, p: wxhgkfhhhqnhdfhg, a: h == h, b: h == h, valid: false
f: 5, s: 7, c: m, p: mmmwmmmmm, a: m == m, b: m == m, valid: false
f: 1, s: 3, c: z, p: qsvrzwnxzvl, a: q == z, b: v == z, valid: false
f: 7, s: 12, c: x, p: tpzblhzfdmxqqmmjfwq, a: z == x, b: q == x, valid: false
f: 9, s: 12, c: m, p: mmmqmmmmmdmmmm, a: m == m, b: m == m, valid: false
f: 15, s: 18, c: t, p: ttttttttttttttthtt, a: t == t, b: t == t, valid: false
f: 2, s: 12, c: b, p: tblhkbgnbbfqvd, a: b == b, b: q == b, valid: true
f: 2, s: 3, c: m, p: rmqv, a: m == m, b: q == m, valid: true
f: 8, s: 17, c: m, p: jmcndnqmdjdtqnbvmpn, a: m == m, b: m == m, valid: false
f: 5, s: 14, c: l, p: lxlfvjnbllllmlllllsb, a: v == l, b: l == l, valid: true
f: 4, s: 5, c: r, p: rtlmrxxrrnrt, a: m == r, b: r == r, valid: true
f: 6, s: 7, c: k, p: kkksmkg, a: k == k, b: g == k, valid: true
f: 16, s: 19, c: q, p: bkwfqstbmqqhzqvqvcqd, a: q == q, b: q == q, valid: false
f: 12, s: 13, c: l, p: lllllllllllpll, a: p == l, b: l == l, valid: true
f: 2, s: 9, c: m, p: zgxdbmzrmbbdbw, a: g == m, b: m == m, valid: true
f: 7, s: 9, c: d, p: bdddddzdk, a: z == d, b: k == d, valid: false
f: 18, s: 19, c: g, p: wfwggwhxrnnspmvgjrg, a: r == g, b: g == g, valid: true
f: 17, s: 18, c: w, p: wwwwwwwwwwwwwwwwwwww, a: w == w, b: w == w, valid: false
f: 2, s: 6, c: z, p: kzzzfzbh, a: z == z, b: z == z, valid: false
f: 3, s: 4, c: c, p: pcqk, a: q == c, b: k == c, valid: false
f: 5, s: 6, c: t, p: tthtpx, a: p == t, b: x == t, valid: false
f: 10, s: 13, c: x, p: xxxxxxxtdtkxqxqxxxx, a: t == x, b: q == x, valid: false
f: 1, s: 2, c: b, p: qbwd, a: q == b, b: b == b, valid: true
f: 13, s: 19, c: l, p: llhxsxlllllpllllllfl, a: l == l, b: f == l, valid: true
f: 14, s: 15, c: n, p: nnnnmnnnnnnnnnqn, a: n == n, b: q == n, valid: true
f: 6, s: 7, c: m, p: mjmhsdmmm, a: d == m, b: m == m, valid: true
f: 3, s: 5, c: r, p: qqshck, a: s == r, b: c == r, valid: false
f: 8, s: 15, c: c, p: clbcccrccscccpcwcc, a: c == c, b: c == c, valid: false
f: 9, s: 12, c: k, p: kkcwkklkkkcnkkxkk, a: k == k, b: n == k, valid: true
f: 4, s: 5, c: v, p: vvvppvv, a: p == v, b: p == v, valid: false
f: 2, s: 8, c: t, p: dxtgttjj, a: x == t, b: j == t, valid: false
f: 1, s: 8, c: r, p: tqrlhfzk, a: t == r, b: k == r, valid: false
f: 8, s: 9, c: n, p: zhmtnfsrr, a: r == n, b: r == n, valid: false
f: 10, s: 15, c: d, p: ddddmldddzddgnk, a: z == d, b: k == d, valid: false
f: 13, s: 17, c: z, p: jzpzzzzzzzvwnzzbz, a: n == z, b: z == z, valid: true
f: 1, s: 5, c: d, p: ddkdd, a: d == d, b: d == d, valid: false
f: 4, s: 6, c: x, p: xsxgbf, a: g == x, b: f == x, valid: false
f: 3, s: 8, c: k, p: wkckkkcw, a: c == k, b: w == k, valid: false
f: 5, s: 7, c: r, p: ndprnrxrrrbzrpnrz, a: n == r, b: x == r, valid: false
f: 4, s: 6, c: n, p: nnnnnnn, a: n == n, b: n == n, valid: false
f: 7, s: 8, c: q, p: qbmxfhqqqqmhqqq, a: q == q, b: q == q, valid: false
f: 9, s: 10, c: k, p: swgkcrkdkkjfmkkkjl, a: k == k, b: k == k, valid: false
f: 6, s: 8, c: s, p: kzqbsxrchhvvfvkqhz, a: x == s, b: c == s, valid: false
f: 3, s: 4, c: h, p: hmgh, a: g == h, b: h == h, valid: true
f: 10, s: 11, c: b, p: bsbfbkbwbhh, a: h == b, b: h == b, valid: false
f: 9, s: 13, c: z, p: nnzzbvzzrzkjnbzqfzzp, a: r == z, b: n == z, valid: false
f: 1, s: 11, c: x, p: xsxnqgjsqzxxnxd, a: x == x, b: x == x, valid: false
f: 12, s: 13, c: m, p: mmmmmmmmmmmvm, a: v == m, b: m == m, valid: true
f: 11, s: 20, c: n, p: vjsnfnnsgnnnmnnnnnwn, a: n == n, b: n == n, valid: false
f: 4, s: 11, c: q, p: qqqhqnpqbnrqhpd, a: h == q, b: r == q, valid: false
f: 10, s: 16, c: s, p: hszrsssktsspdtsrssss, a: s == s, b: r == s, valid: true
f: 1, s: 4, c: m, p: ldmhj, a: l == m, b: h == m, valid: false
f: 3, s: 14, c: l, p: llxjlmllflzdbll, a: x == l, b: l == l, valid: true
f: 11, s: 17, c: m, p: mmmmmmmmmmmmmmpmmmm, a: m == m, b: m == m, valid: false
f: 1, s: 7, c: c, p: jcccccl, a: j == c, b: l == c, valid: false
f: 15, s: 16, c: x, p: xjxxxxxxxxxxxxxxx, a: x == x, b: x == x, valid: false
f: 5, s: 7, c: v, p: cvtvcvv, a: c == v, b: v == v, valid: true
f: 7, s: 12, c: p, p: npppqpgptpjkjpdp, a: g == p, b: k == p, valid: false
f: 12, s: 16, c: c, p: cwvmnknsbccvccrckqcf, a: v == c, b: c == c, valid: true
f: 5, s: 13, c: v, p: vrvvvjvvpvvvwvbv, a: v == v, b: w == v, valid: true
f: 2, s: 14, c: l, p: bkllllllllllldlllk, a: k == l, b: d == l, valid: false
f: 4, s: 6, c: x, p: qxxxpxs, a: x == x, b: x == x, valid: false
f: 9, s: 11, c: s, p: sbssssssssm, a: s == s, b: m == s, valid: true
